,wahlbezirk,wahlkreis,bezirk,bezirkname,ost_west,waehler_be,waehler,ungueltig,gueltig,cdu_p,spd_p,linke_p,gruene_p,afd_p,piraten_p,fdp_p
0,1100,101,1,Mitte,W,1307,577,14,563,0.19538188277087035,0.2344582593250444,0.1900532859680284,0.12966252220248667,0.11012433392539964,0.02486678507992895,0.056838365896980464
1,1101,101,1,Mitte,O,1531,768,6,762,0.2349081364829396,0.15354330708661418,0.1916010498687664,0.17979002624671914,0.06561679790026248,0.003937007874015748,0.12992125984251968
2,1102,101,1,Mitte,O,1319,612,2,610,0.2442622950819672,0.14590163934426228,0.12459016393442625,0.19508196721311474,0.08032786885245903,0.003278688524590164,0.15737704918032788
3,1103,101,1,Mitte,O,1598,786,4,782,0.21611253196930946,0.14066496163682865,0.19053708439897696,0.17902813299232734,0.05370843989769821,0.005115089514066497,0.16240409207161124
4,1104,101,1,Mitte,O,1274,616,4,612,0.22058823529411764,0.15359477124183007,0.16176470588235295,0.2238562091503268,0.062091503267973865,0.0032679738562091504,0.13071895424836602
5,1105,101,1,Mitte,O,1078,523,6,517,0.18181818181818185,0.1450676982591876,0.24758220502901354,0.20309477756286268,0.06963249516441006,0.0019342359767891683,0.10831721470019344
6,1106,101,1,Mitte,O,1436,672,2,670,0.21044776119402986,0.15074626865671642,0.13880597014925372,0.21791044776119406,0.08059701492537312,0.00746268656716418,0.1626865671641791
7,1107,101,1,Mitte,O,1127,615,6,609,0.1986863711001642,0.15599343185550082,0.2019704433497537,0.21018062397372744,0.06732348111658458,0.0,0.11986863711001645
8,1108,101,1,Mitte,O,1017,486,4,482,0.2863070539419087,0.12448132780082988,0.1950207468879668,0.12448132780082988,0.06224066390041494,0.002074688796680498,0.16804979253112035
9,1109,101,1,Mitte,W,1136,540,11,529,0.24763705103969755,0.24196597353497165,0.14555765595463138,0.07183364839319471,0.13043478260869565,0.011342155009451795,0.0831758034026465
10,1110,101,1,Mitte,O,1583,855,4,851,0.19388954171562867,0.17391304347826084,0.1856639247943596,0.23971797884841364,0.04112808460634548,0.0035252643948296123,0.11163337250293773
11,1111,101,1,Mitte,O,1030,559,2,557,0.18312387791741472,0.1490125673249551,0.18491921005386,0.26032315978456017,0.04488330341113106,0.0035906642728904853,0.1274685816876122
12,1112,101,1,Mitte,O,1215,607,5,602,0.17109634551495018,0.11794019933554815,0.23754152823920266,0.2541528239202658,0.06146179401993356,0.008305647840531562,0.106312292358804
13,1113,101,1,Mitte,O,1191,677,5,672,0.14285714285714285,0.17261904761904762,0.2038690476190476,0.2663690476190476,0.052083333333333336,0.001488095238095238,0.09970238095238096
14,1114,101,1,Mitte,O,1471,746,3,743,0.17631224764468373,0.1655450874831763,0.19380888290713325,0.2449528936742934,0.04979811574697174,0.00269179004037685,0.10497981157469716
15,1115,101,1,Mitte,O,888,485,3,482,0.2074688796680498,0.15145228215767634,0.2033195020746888,0.15975103734439833,0.11618257261410787,0.002074688796680498,0.07883817427385892
16,1116,101,1,Mitte,O,710,381,2,379,0.21108179419525067,0.13984168865435356,0.1741424802110818,0.2453825857519789,0.07651715039577836,0.0052770448548812654,0.10026385224274406
17,1117,101,1,Mitte,O,1519,865,4,861,0.22067363530778164,0.15098722415795587,0.16957026713124276,0.2694541231126597,0.041811846689895474,0.0058072009291521495,0.08362369337979095
18,1118,101,1,Mitte,O,1172,669,7,662,0.17522658610271905,0.1283987915407855,0.22205438066465255,0.283987915407855,0.0377643504531722,0.006042296072507553,0.09365558912386708
